ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
net.datacrow.core.modules.DcModule.removeEnhancers,0,0,0,0,0,0,0,0,0,0.0,2
net.datacrow.util.Utilities.isDriveTraversable,0,0,0,0,0,0,0,0,0,1.93,1
net.datacrow.fileimporters.MusicFile.getAlbum,0,0,0,0,0,0,0,0,0,3.5714038905232353,1
net.datacrow.core.web.model.AdvancedFilter.setValue,0,0,0,0,0,0,0,0,0,1.7317843891729392,8
net.datacrow.console.components.panels.tree.GroupingPane.build,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.wizards.module.DeleteModuleWizard.getWizardPanels,0,0,0,0,0,0,0,0,0,0.0,3
net.datacrow.console.windows.DefinitionPanel.save,0,0,0,0,0,0,0,0,0,2.4074142542556203,10
net.datacrow.console.windows.onlinesearch.OnlineSearchForm.addObject,0,0,0,0,0,0,0,0,0,1.8459764198466664,11
net.datacrow.core.DataCrow.run,0,0,0,0,0,0,0,0,0,2.051458085594516,3
net.datacrow.console.views.View.applyViewDividerLocation,0,0,0,0,0,0,0,0,0,1.624065835072542,4
net.datacrow.console.views.CachedChildView.add,0,0,0,0,0,0,0,0,0,2.033274619856387,1
net.datacrow.console.windows.reporting.ResultsButtonAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.filerenamer.FilePatterns.save,0,0,1,0,0,0,0,1,0,1.3008013120001323,9
net.datacrow.console.windows.datepicker.NavigationPanel.setCurrentMonth,0,0,0,0,0,0,0,0,0,2.691164730656205,8
net.datacrow.console.windows.security.SetPasswordDialog.keyTyped,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.console.components.DcFontSelector.buildComponent,0,0,0,0,0,0,0,0,0,2.748630409963661,20
net.datacrow.console.components.lists.DcListUI.getRowHeight,0,0,0,0,0,0,0,0,0,3.93,1
net.datacrow.console.windows.FieldDefinitionsDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.ComponentFactory.setBorder,0,0,0,0,0,0,0,0,0,2.145,3
net.datacrow.console.components.lists.elements.DcObjectListHwElement.update,0,0,0,0,0,0,0,0,0,2.16875,2
net.datacrow.core.data.DataManager.getPictures,0,0,0,0,0,0,0,0,0,2.08948741162047,1
net.datacrow.console.wizards.module.RelateModuleWizard.restart,0,0,0,0,0,0,0,0,0,4.43,5
net.datacrow.core.modules.xml.XmlField.setValueType,0,0,0,0,0,0,0,0,0,2.46,1
net.datacrow.core.modules.xml.XmlModule.setName,0,0,0,0,0,0,0,0,0,3.5,1
