ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
jmencode.MainGUI.crophSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.MainGUI.ScaleHeightSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0,8
jmencode.RescaleOptionsForm.actionPerformed,0,0,0,0,0,0,0,0,0,0.7535517379518932,1
jmencode.MainGUI.extractAudioButtonActionPerformed,3,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.onePassButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MplayerController.pauseButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.0,3
jmencode.MainGUI.actionPerformed,0,0,0,0,0,0,0,0,0,0.5271517455391539,1
jmencode.MuxerForm.muxedinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.RescaleOptionsForm.prevsetupCancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.ThreadVar.start,0,0,0,0,0,0,0,0,0,0.8937864843597962,3
jmencode.MuxerForm.chapterinputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5885812588052399,6
jmencode.Settings.nearestMod16,0,0,0,0,0,0,0,0,0,1.226,11
jmencode.MainGUI.containertypeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,15
jmencode.LogPanel.load,0,1,0,0,0,0,0,0,0,4.111085825208303,14
jmencode.Settings.loadSettingsfromFile,0,1,1,0,0,0,0,0,0,1.657063200235161,46
jmencode.MainGUI.audQualityFieldStateChanged,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.ImgPreviewPanel.ancestorResized,0,0,0,0,0,0,0,0,0,1.6475,1
jmencode.MplayerParser.parseCropOutput,0,0,0,0,0,0,0,0,0,3.63,11
jmencode.Subtrack.getAid,0,0,0,0,0,0,0,0,0,1.1400000000000001,4
jmencode.MainGUI.updateCommand,0,0,0,0,0,0,0,0,0,1.302348113116242,38
jmencode.ImgPreviewPanel.setRectfromCropSettings,0,0,0,0,1,0,0,0,0,0.9027186668099788,14
jmencode.MainGUI.getdiscpathFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,5
jmencode.MplayerController.construct,0,0,0,0,0,0,0,0,0,0.9227749152499533,6
jmencode.ImgPreviewPanel.formMouseDragged,0,0,0,0,0,0,0,0,0,0.9239511258818031,3
jmencode.ExecProgram.getexitValue,0,0,0,0,0,0,0,0,0,1.3622435781001836,1
jmencode.Subtrack.addAudioTrack,0,0,0,0,0,0,0,0,0,1.0033333333333334,1
jmencode.MainGUI.setvidSlider,0,0,0,0,0,0,0,0,0,1.62,1
jmencode.MainGUI.twoPassButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.Settings.main,0,1,0,0,1,0,0,0,0,2.669923028033122,10
jmencode.MuxerForm.actionPerformed,0,0,0,0,0,0,0,0,0,0.4868176542241748,1
jmencode.MainGUI.MuxerMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,1.4333333333333333,4
jmencode.MainGUI.setDiscInputButtonMouseReleased,0,0,0,0,0,0,0,0,0,0.0,8
jmencode.MainGUI.getoutputfilebuttonActionPerformed,0,0,0,0,0,0,0,0,0,1.625,10
